Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
solar_p75,0.327331793980767,0.03426164908379648,1,32.7331793980767,32.7331793980767,1
DO_P25,0.15464951960640835,0.01585647897004098,1,15.464951960640835,48.19813135871753,2
ari_ix_uav,0.10939448132484382,0.022449959769938237,1,10.939448132484381,59.13757949120192,3
crp_pc_use,0.06960018866632388,0.006496046901000861,1,6.960018866632388,66.0975983578343,4
hdi_ix_cav,0.038115713539993906,0.005648364026577329,1,3.8115713539993905,69.9091697118337,5
tmp_dc_uyr,0.03801338542432584,0.0053596462692590205,1,3.801338542432584,73.71050825426627,6
ele_mt_cav,0.031850806110453336,0.003272824735623351,1,3.1850806110453336,76.89558886531161,7
rdd_mk_uav,0.03098187551442031,0.004274872351547875,1,3.098187551442031,79.99377641675365,8
slp_dg_uav,0.027090163684753622,0.0035251570487615986,1,2.7090163684753623,82.70279278522901,9
WT_p75,0.026558404778630883,0.006314848926468206,1,2.655840477863088,85.35863326309209,10
daylength_p75,0.025858084866487153,0.003939942361819985,1,2.585808486648715,87.9444417497408,11
pre_mm_uyr,0.025766736401743734,0.004572280577503472,1,2.5766736401743735,90.52111538991518,12
daylength_median,0.022763292876877318,0.003400359659297144,1,2.276329287687732,92.79744467760291,13
UPLAND_SKM,0.02062945262057415,0.002652209094942303,1,2.062945262057415,94.86038993966034,14
ppd_pk_uav,0.01911395590757448,0.003726494657818062,1,1.911395590757448,96.77178553041777,15
Q_p25,0.014673794789711415,0.0028618526791793155,1,1.4673794789711414,98.23916500938891,16
for_pc_use,0.011278836189195653,0.0024092725280742107,1,1.1278836189195653,99.36704862830848,17
ORD_STRA,0.004103300035801651,0.0014690976341226532,1,0.41033000358016514,99.77737863188865,18
wet_pc_ug2,0.002226213681113495,7.956594883473947e-4,1,0.2226213681113495,100,19
