Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
solar_p75,0.29825834019270264,0.03257938348358296,1,29.82528128072698,29.82528128072698,1
ari_ix_uav,0.10828854921364275,0.024883942739061943,1,10.828654238778473,40.65393551950545,2
DO_P25,0.1026555717770882,0.014254627145615999,1,10.265366934273656,50.91930245377911,3
hdi_ix_cav,0.0771051703318727,0.012017001660170034,1,7.710374140286097,58.6296765940652,4
tmp_dc_uyr,0.053178801067246186,0.012043238071007328,1,5.3177815546673095,63.947458148732515,5
pre_mm_uyr,0.04615250198067085,0.007944705629388813,1,4.6151646672930005,68.56262281602551,6
WT_p75,0.045163601183279556,0.00915022503122775,1,4.516276420205343,73.07889923623085,7
ele_mt_cav,0.03765847882674982,0.006848302303378071,1,3.765778093200811,76.84467732943168,8
slp_dg_uav,0.03721917572800939,0.006549309305992255,1,3.721848597452384,80.56652592688405,9
rdd_mk_uav,0.03450280117799008,0.007501539049434702,1,3.4502161764921193,84.01674210337617,10
Q_p25,0.03257082940434814,0.006359708234059838,1,3.2570225794980945,87.27376468287427,11
daylength_p75,0.031846993605583206,0.006013942902609152,1,3.1846403410491186,90.45840502392339,12
for_pc_use,0.030280220457018198,0.007097975408422736,1,3.0279659297691186,93.4863709536925,13
daylength_median,0.019715880542642176,0.004921260686674097,1,1.9715515163853985,95.4579224700779,14
UPLAND_SKM,0.019242652451990236,0.0041921766400095295,1,1.924229584316319,97.38215205439423,15
crp_pc_use,0.017716299330318857,0.005702608021761047,1,1.77159710081845,99.15374915521267,16
ORD_STRA,0.005373906797289867,0.0019070632278240577,1,0.5373807206934306,99.6911298759061,17
wet_pc_ug2,0.003088758482451847,0.0018959690183292168,0.994,0.30887012409389003,100,18
