Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.3273149697645132,0.029555295352317285,1,32.73113283036914,32.73113283036914,1
solar_p75,0.15092490654938423,0.02731907990822269,1,15.092322747208867,47.82345557757801,2
ari_ix_uav,0.10184908988171244,0.0193397833793564,1,10.184795678513943,58.00825125609195,3
slp_dg_uav,0.05123045612508167,0.009820518202311014,1,5.12298861734568,63.13123987343763,4
ppd_pk_uav,0.04596491180905338,0.006311154823053223,1,4.596440043792468,67.72767991723009,5
Q_p25,0.04581659973304416,0.006133680896250583,1,4.581609001192436,72.30928891842254,6
crp_pc_use,0.03802467054780015,0.004747738822924283,1,3.8024247513839433,76.11171366980648,7
pre_mm_uyr,0.02916908641436944,0.006491250904175368,1,2.916876190099487,79.02858985990596,8
tmp_dc_uyr,0.026564059370856853,0.0045130951679655884,1,2.656376383905904,81.68496624381187,9
UPLAND_SKM,0.024553893227634523,0.005561529522239659,1,2.4553620059437313,84.1403282497556,10
rdd_mk_uav,0.022892811304946196,0.005629326472885008,1,2.2892556616700412,86.42958391142564,11
WT_p75,0.0223071796957016,0.005863286571769753,1,2.23069315227538,88.66027706370102,12
urb_pc_use,0.021270511106661522,0.005000731187619807,1,2.1270274466910797,90.7873045103921,13
daylength_median,0.020666318191654032,0.00454237782295394,1,2.066608827370045,92.85391333776215,14
ele_mt_cav,0.02000863772373453,0.0033492395478900198,1,2.0008415122640484,94.8547548500262,15
hdi_ix_cav,0.016999517987824817,0.0034467712517637075,1,1.6999328863939691,96.55468773642016,16
for_pc_use,0.014607679310737243,0.003423276533095916,1,1.4607516796655027,98.01543941608567,17
daylength_p75,0.01368670491155784,0.003080321333167466,1,1.3686552643545928,99.38409468044026,18
ORD_STRA,0.003377778309031352,0.0016650414023409448,1,0.337774073040369,99.72186875348062,19
wet_pc_ug2,0.0027813434083341685,0.0014885006530337517,0.996,0.27813124651938026,100.00000000000001,20
