gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
406041286606190_,17.58064516,7076.1,6,14,92,134,1834,187,3,55,7,24,582.436,2707,904,10.7,8.1,9.201156419,10.3,40.23133087,25.36375141,10.22694444,11.11486111,9.09,11.8
406041286606240_,3.083333333,1168.6,4,18,122,136,1771,179,0,72,4,24,1215.16,3358,904,7.7,18.7,18.38395661,23.5,24.3229599,14.80016613,12.28861111,13.77652778,13.37,19.305
406041286608010_,1.166666667,267.4,4,131,118,140,1628,164,0,61,7,23,837.212,3334,904,8.7,16.4,16.48870966,22.4,4.331899643,2.06166029,12.26027778,13.77944444,13.22,19.2
406041286608040_,5.441717791,367.9,4,10,107,142,1614,162,0,54,6,32,1545.234,4870,908,7.7,16.8,16.71294493,22.3,5.409373999,2.656551242,12.25041667,13.78048611,13.185,19.14
406041286618030_,4.681818182,4076.5,5,211,88,133,1858,193,6,48,8,24,399.852,2392,904,7.9,16.9,17.07971014,24.2,152.1723633,107.2194595,12.25083333,13.81319444,13.12,19.935
406051286611030_,2.028571429,937.6,4,107,140,136,1652,166,0,64,8,14,156.37,1909,899,7.3,17.9,17.06451336,20.6,22.41292953,12.65677834,12.22555556,13.74583333,13.57,19.88
406051286611060_,3.385,1686.2,4,44,106,140,1570,157,0,50,10,24,430.443,2677,899,7.3,17.6,17.38121782,23.9,36.94425011,20.54637432,12.075,13.61513889,13.285,19.6025
406061286611050_,8.563636364,803.4,4,14,162,125,1677,172,0,80,3,16,248.831,1405,899,7.6,16.2,16.01156512,21.9,23.16231441,14.23316431,12.38972222,13.78368056,13.885,20.3125
406101286610020_,6.632850242,1194.4,4,11,157,127,1881,190,0,84,6,6,90.519,452,899,7.9,17.2,16.5982523,22.7,43.04292679,22.68161964,12.29527778,13.80666667,11.89,18.2
407041287705100_,15.11111111,1320.7,4,9,92,130,1856,194,7,73,8,11,151.201,506,894,11.2,6.7,7.349405594,8.9,63.8212738,49.25250053,10.68111111,11.56486111,7.6,11.8
407091287712070_,8.75,1214,4,134,149,113,1925,218,0,97,1,6,436.248,1305,906,8.3,15.2,15.16554713,20.9,25.36708641,16.27460861,12.36,13.82666667,12.91,19.185
408011288805002_,21.53061224,475.1,3,20,130,138,1713,178,0,69,6,26,660.559,513,893,1,24.3,21.29578252,26.7,6.906990051,5.244037747,13.05111111,13.69729167,16.525,20.6925
4087119,6,26.2,1,232,8,83,823,92,37,0,0,100,2234.678,9301,945,8.241666667,10.49166667,10.73988224,18.08333333,0.223122299,0.056185211,12.22902778,14.37951389,13.41,20.955
40871488,4.4,40.7,1,208,10,83,820,93,19,4,1,100,2422.411,10777,945,7.933333333,8.5,9.607001687,15.36666667,1.269623339,0.701112032,12.20305556,14.113125,9.905,16.6375
409003,22.46428571,1546.7,4,95,2,161,443,32,24,12,12,0,4.462,138,954,10.439,10.6,11.63995323,12.325,0.515462518,0.208047532,10.00694444,10.58166667,10.33,12.135
409061289901500_,6.6,1972.9,5,11,107,132,2256,231,0,77,7,13,193.077,1767,893,8.3,18.1,17.74433178,23,46.81075096,29.21009159,12.21777778,13.67944444,12.955,19.1875
