gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
4121660,7,4658.4,4,273,11,63,798,87,27,73,16,1,24.799,323,944,8.2,10.26666667,10.93457354,19.425,36.04572678,24.54559898,12.05055556,14.32361111,11.09,19.86
4121680,9.049535604,4943.4,4,270,12,64,802,87,28,74,15,1,24.534,313,944,5.8,11.275,11.04787493,18.23333333,38.18737793,26.87946892,12.11388889,14.28305556,10.96,19.6525
42071,24,9889.1,6,1306,44,59,599,61,11,67,4,0,5.611,105,928,4.1,11.9,11.7676229,18.55,36.40925217,24.74996185,9.784166667,15.10361111,8.83,25.23
6893820,1,257.4,2,274,18,123,973,87,0,8,26,46,490.342,6151,906,7.2,14.55,14.21160079,23.025,0.512405813,0.08945854,12.15583333,13.98972222,14.12,21.63
7049691,6.677419355,3103,4,367,59,138,1169,96,0,72,23,1,30.054,392,797,6.825,9.3,9.507474164,10.2,15.09635735,9.156259537,12.39527778,14.20868056,16.55,23.0575
7054501,6.909090909,15612,6,207,48,135,1123,91,0,63,24,2,37.15,450,797,6.7,12.4,12.39143648,14.1,62.43366623,43.41132545,12.32847222,14.17840278,16.4,22.58
7061270,15.75,67.3,1,380,64,126,1112,91,0,100,2,0,2.861,9,906,8.65,14.675,14.85630866,21.26666667,0.798586726,0.010747439,12.30444444,13.9625,15.19,21.73
7061290,13.61,247.2,3,269,69,127,1116,91,0,100,2,0,2.293,22,906,6.65,15.35,15.80737527,23.85,1.268821299,0.031695008,12.1825,13.92215278,14.82,21.5375
7075270,2.75,186.6,2,325,78,143,1256,99,0,100,7,0,1.147,84,797,7.375,14.825,15.50148144,22.4,1.041689038,0.027629888,12.06527778,13.63215278,14.94,21.4975
7076000,3,2982.9,4,170,63,144,1265,99,0,91,12,0,10.623,206,797,7.025,10.2,10.23907404,11.2,16.01671028,7.787172318,12.37916667,14.04486111,16.65,22.98
7099400,18.20512821,11937.7,5,1504,105,38,438,51,8,76,4,0,8.389,147,951,7.1,10.6,11.17318516,16.6,14.50646734,7.969306111,12.22763889,14.06486111,18.295,24.0725
7109500,2,132.5,2,1428,12,112,318,24,0,2,12,0,2.554,91,951,7.5,12.4,12.43176282,18.425,17.549263,9.591369867,12.17680556,13.95791667,18.215,24.07
7177500,2,2358.7,4,195,21,149,963,74,0,18,9,0,13.076,216,809,7.75,17.15,16.17526953,22.85,4.728952169,1.668796211,12.15541667,13.81840278,15.455,22.72
7198000,7.121387283,4214.4,4,195,30,146,1156,92,0,54,30,7,76.548,679,809,6.5,14.2,13.90605144,17.65,24.05002403,10.23406792,12.11166667,13.73277778,15.56,22.78
7239000,9.305970149,33536.8,5,506,8,134,490,36,10,1,46,0,2.992,114,809,5.85,13.65,14.4070873,18.95,4.119651794,1.707387924,11.16111111,13.32638889,13.62,20.88
7241520,6.247191011,35872.3,5,359,8,135,509,38,9,1,46,1,14.014,212,809,7.7,15.65,16.26630873,23.7,8.102361679,3.636223316,11.705,13.63,15.38,22.22
7241550,11.00591716,36071.2,5,346,8,135,511,38,9,1,46,1,14.704,219,809,7.75,16.3,16.84617224,23.85,7.908939838,3.381364822,11.87305556,13.69277778,16.06,22.84
7263296,5.962184874,239,3,158,53,160,1325,99,0,99,6,0,3.802,152,797,5.625,17.475,17.41930388,25.125,1.848031163,0.342054725,12.18277778,13.78055556,15.93,22.325
72632966,6.380952381,239,3,158,53,160,1325,99,0,99,6,0,3.802,152,797,7.075,18.55,18.75094829,27.35,1.989300311,0.368031777,12.27527778,13.745,16.14,22.42
7332622,4.44,967.7,3,165,8,170,1093,80,0,19,48,1,22.969,360,908,6.725,18.85,18.32202195,26.15,2.327479482,1.113562137,12.19319444,13.75611111,16.03,23.1625
8065350,5.833333333,36031.8,6,60,10,182,933,65,1,11,30,14,182.571,1581,908,6.8,21.1,21.04072071,28.5,83.96660614,45.11290646,12.20416667,13.52756944,17.355,23.34
8068500,5.4,973.6,3,39,7,198,1126,77,0,80,10,20,213.758,1728,908,6.8,23.06666667,22.4315991,27.975,2.584165573,1.26285544,12.08472222,13.43770833,17.005,22.7925
