file_name,n_events,start_median_shift,end_median_shift,start_median_hour,end_median_hour,start_median_time,end_median_time,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_natural_2km,p_urban_2km,p_other_2km,p_crop_2km,p_wetland_2km,human_share,human_impacted,landuse_group
2169000,1,33,18,9,18,09:00:00,18:00:00,34.0140416,-81.0878717,3,Urban,3,Urban,0,0.75,0.25,0,0,0.75,TRUE,Urban-dominated
2171,148,28,28,4,4,04:00:00,04:00:00,34.177411,116.471647,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2171645,16,24.5,25,0.5,1,00:30:00,01:00:00,33.4275,-79.915,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2172,5,20,20,20,20,20:00:00,20:00:00,30.000985,121.325079,2,Cropland,2,Cropland,0,0,0.5,0.5,0,0.5,TRUE,Ag-dominated
2172002,97,28,29,4,5,04:00:00,05:00:00,33.21491667,-79.9749167,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2173,21,28,28,4,4,04:00:00,04:00:00,27.878331,111.357444,2,Cropland,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2177,2,30,22,6,22,06:00:00,22:00:00,33.352880999999996,115.953353,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2179,1,16,16,16,16,16:00:00,16:00:00,31.87893,120.977622,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2180,1,20,20,20,20,20:00:00,20:00:00,31.391125,113.98047,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2181,12,28,20,4,20,04:00:00,20:00:00,45.618322,122.829592,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2182,1,28,28,4,4,04:00:00,04:00:00,28.950873,105.359266,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2183,11,24,20,0,20,00:00:00,20:00:00,31.861184,117.284922,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2184,25,28,32,4,8,04:00:00,08:00:00,34.879613,117.027314,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2185,43,28,32,4,8,04:00:00,08:00:00,35.538668,116.84332,2,Cropland,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
2187,95,28,32,4,8,04:00:00,08:00:00,24.067389,116.364039,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2188,100,20,28,20,4,20:00:00,04:00:00,33.731002,120.393063,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
2189,6,18,22.25,18,22.25,18:00:00,22:15:00,28.675696,115.909228,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2190,8,20,18,20,18,20:00:00,18:00:00,29.637542,117.303815,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2192,45,28,32,4,8,04:00:00,08:00:00,34.068636,116.25461,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2193,1,32,32,8,8,08:00:00,08:00:00,32.262114,115.392074,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2194,8,28,28,4,4,04:00:00,04:00:00,30.280827,120.135191,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2195,2,12,12,12,12,12:00:00,12:00:00,30.246073,109.493289,1,Natural vegetation,1,Natural vegetation,0.5,0.25,0,0.25,0,0.5,TRUE,Natural-dominated
2196,22,20,32,20,8,20:00:00,08:00:00,31.579754,121.798307,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2198,6,20,20,20,20,20:00:00,20:00:00,31.193231,121.785769,2,Cropland,3,Urban,0,0.6666666666666666,0.3333333333333333,0,0,0.6666666666666666,TRUE,Urban-dominated
2199,60,20,28,20,4,20:00:00,04:00:00,31.801399,121.194699,2,Cropland,2,Cropland,0,0,0.5,0.5,0,0.5,TRUE,Ag-dominated
2200,56,20,20,20,20,20:00:00,20:00:00,31.013867,121.754522,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2201,19,28,30,4,6,04:00:00,06:00:00,31.535298,121.6762,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2202,32,20,32,20,8,20:00:00,08:00:00,31.362887,121.745275,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203,8,28,28,4,4,04:00:00,04:00:00,31.023111,121.041476,3,Urban,2,Cropland,0,0.25,0.25,0.5,0,0.75,TRUE,Ag-dominated
2203603,12,20,23,20,23,20:00:00,23:00:00,33.68388889,-84.4152778,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203655,6,19,18,19,18,19:00:00,18:00:00,33.67891667,-84.35813889,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203800,2,20,22.5,20,22.5,20:00:00,22:30:00,33.6796111,-84.3079444,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
2203873,5,21.5,19,21.5,19,21:30:00,19:00:00,33.70941667,-84.2391667,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203900,3,25,26,1,2,01:00:00,02:00:00,33.66577778,-84.224,3,Urban,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
2203950,8,17,22,17,22,17:00:00,22:00:00,33.7632222,-84.2203611,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2204,28,28,28,4,4,04:00:00,04:00:00,31.1155091,120.9170361,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
2205,63,20,20,20,20,20:00:00,20:00:00,31.005464,121.12989,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2206,96,20,20,20,20,20:00:00,20:00:00,30.949895,121.204222,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
