Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.647479747845116,0.015894421583106718,1,64.7479747845116,64.7479747845116,1
hdi_ix_cav,0.10160835233287303,0.007236808362506312,1,10.160835233287303,74.9088100177989,2
ele_mt_cav,0.0559450084901581,0.0034805700039397132,1,5.59450084901581,80.50331086681472,3
Q_p25,0.03681684810182331,0.002738936569126243,1,3.681684810182331,84.18499567699705,4
UPLAND_SKM,0.028447852440473546,0.003391466249076961,1,2.8447852440473547,87.02978092104439,5
daylength_median,0.020381034692579812,0.00696980319443759,1,2.0381034692579814,89.06788439030238,6
rdd_mk_uav,0.016734220954262705,0.00401716730017614,1,1.6734220954262704,90.74130648572864,7
solar_p75,0.015182178777246183,0.002656286849672731,1,1.5182178777246182,92.25952436345327,8
WT_p75,0.01153900477172512,0.0025569226267948375,1,1.1539004771725119,93.41342484062578,9
tmp_dc_uyr,0.010157844788335898,0.002524648757315914,1,1.0157844788335897,94.42920931945937,10
ppd_pk_uav,0.009520547105192817,0.0022165524561081834,1,0.9520547105192817,95.38126402997865,11
ari_ix_uav,0.00845709563062871,0.0014776745838568318,1,0.845709563062871,96.22697359304152,12
pre_mm_uyr,0.007337657789402114,0.0015758903191346316,1,0.7337657789402114,96.96073937198173,13
for_pc_use,0.006828669531550299,0.0012988897538148332,1,0.68286695315503,97.64360632513676,14
slp_dg_uav,0.006782741710841852,0.0012599383880474927,1,0.6782741710841852,98.32188049622094,15
wet_pc_ug2,0.005306034571650227,0.0013533452472578003,1,0.5306034571650228,98.85248395338597,16
urb_pc_use,0.00464045409682222,0.0013069362737420447,1,0.464045409682222,99.3165293630682,17
crp_pc_use,0.004209170398611069,0.0011726867170514864,1,0.42091703986110696,99.7374464029293,18
ORD_STRA,0.002625535970707072,0.0013590614663603609,1,0.2625535970707072,100,19
