Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.7568039467272974,0.019774498925459877,1,75.68039467272975,75.68039467272975,1
Q_p25,0.042548889491836155,0.008587918222811996,1,4.2548889491836155,79.93528362191336,2
solar_p75,0.038843590103117075,0.004718939297443128,1,3.8843590103117074,83.81964263222507,3
WT_p75,0.024828033891245133,0.0038254216610226167,1,2.482803389124513,86.30244602134958,4
pre_mm_uyr,0.02213685379223079,0.003912599890258385,1,2.213685379223079,88.51613140057266,5
daylength_median,0.019961948830535706,0.002355835193020552,1,1.9961948830535707,90.51232628362624,6
ele_mt_cav,0.014961812217040439,0.0025024257796510503,1,1.496181221704044,92.00850750533027,7
for_pc_use,0.014480535437245297,0.002551361846950061,1,1.4480535437245297,93.45656104905481,8
tmp_dc_uyr,0.01145466700565339,0.003594735313685081,1,1.145466700565339,94.60202774962015,9
crp_pc_use,0.010043761380050316,0.002144638347341538,1,1.0043761380050316,95.60640388762518,10
rdd_mk_uav,0.008702935552263088,0.0019791828228362175,1,0.8702935552263088,96.47669744285149,11
hdi_ix_cav,0.00819385663531382,0.0026038897043692403,1,0.819385663531382,97.29608310638287,12
UPLAND_SKM,0.007561358505106882,0.001432801580699537,1,0.7561358505106882,98.05221895689355,13
slp_dg_uav,0.007452430332790244,0.0021858531514360588,1,0.7452430332790244,98.79746199017258,14
ari_ix_uav,0.006479050500209652,0.0029514727602249833,1,0.6479050500209652,99.44536704019355,15
wet_pc_ug2,0.004279390807332992,0.0011880812446611365,1,0.4279390807332992,99.87330612092684,16
ORD_STRA,0.0012669387907315729,6.085844617503727e-4,1,0.1266938790731573,100,17
