hour,DO_mean,DO_sd,WT_mean,n
0,8.91774739,2.382437637,17.87936472,9989
4,8.412007708,2.63887532,17.23103655,1222852
8,8.41087385,2.608407055,17.11437641,1222852
12,9.037786956,2.802268749,17.7844288,1222852
16,9.400699078,3.032088851,18.19953251,1222852
20,8.992302691,2.81180268,17.81183621,1222854
