file_name,total_days,days_with_DO_below_3,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
4104,623,1,0,100,39.510908,122.475631,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4106,615,7,3,57.14285714,41.061356,122.282673,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4109,475,3,0,100,41.307508,124.132657,3,Urban,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
4111,701,4,1,75,41.835441,123.42944,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4112,533,4,0,100,40.223583,124.507297,5,Other,1,Natural vegetation,0.25,0,0.25,0,0.5,0.25,FALSE,Natural-dominated
4118,638,428,343,19.85981308,41.039546,120.977806,3,Urban,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
4119,763,25,9,64,39.324437,122.211445,2,Cropland,2,Cropland,0,0.5,0.25,0,0.25,0.5,TRUE,Ag-dominated
412004,398,192,182,5.208333333,-33.41080904,147.9910504,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
412005,85,19,10,47.36842105,-33.8695,144.8811,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
412006,277,31,28,9.677419355,-33.091,147.1482,3,Urban,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
412011,300,121,86,28.92561983,-33.201,146.4532,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
412038,209,160,139,13.125,-33.348326,145.87524,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
412039,69,13,10,23.07692308,-33.4873,145.504,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
412047,145,88,82,6.818181818,-33.3824,145.9027,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
4121660,3566,9,1,88.88888889,43.61308,-85.4778209,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4121680,3336,555,79,85.76576577,43.485857,-85.63060189,5,Other,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
4121970,4706,15,0,100,43.43474558,-85.6653239,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
4135,689,2,2,0,28.9994404,105.8508137,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4137030,2868,16,0,100,44.47279328,-83.57108839,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
4153,651,6,1,83.33333333,35.00617,108.73628,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4154,624,2,0,100,34.353997,107.271763,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4156,565,17,3,82.35294118,34.460378,109.251996,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
4157005,4446,6,1,83.33333333,43.4219699,-83.951918,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4159,573,24,10,58.33333333,34.564536,109.485973,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
4160,561,1,1,0,34.45589,109.005226,3,Urban,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
4162,614,18,8,55.55555556,34.613631,110.2348456,2,Cropland,2,Cropland,0,0.75,0,0.25,0,0.75,TRUE,Ag-dominated
4165,696,1,0,100,33.216619,107.952694,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4165500,4468,4,1,75,42.5958674,-82.90881,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4166,615,6,2,66.66666667,36.556856,101.930057,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
