Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.2798024943771483,0.0271173188048861,1,27.980249437714832,27.980249437714832,1
solar_p75,0.08657270015682042,0.012588111118622434,1,8.657270015682043,36.63751945339688,2
hdi_ix_cav,0.0814878750059855,0.011398940304183557,1,8.14878750059855,44.78630695399542,3
WT_p75,0.07722113880729561,0.011743161600781253,1,7.7221138807295615,52.50842083472499,4
ele_mt_cav,0.05697445460753205,0.00991808110319903,1,5.6974454607532055,58.20586629547819,5
daylength_median,0.04840920877279339,0.00934040707925509,1,4.840920877279339,63.04678717275753,6
slp_dg_uav,0.04635492362495035,0.0071503088103415215,1,4.635492362495035,67.68227953525256,7
ppd_pk_uav,0.04567075811627509,0.0075678023313614845,1,4.567075811627509,72.24935534688008,8
UPLAND_SKM,0.04522805812896171,0.006802904777167024,1,4.522805812896171,76.77216115977625,9
tmp_dc_uyr,0.03482164940619331,0.005986916952228374,1,3.482164940619331,80.25432610039557,10
for_pc_use,0.03447334590600226,0.006174616054178937,1,3.447334590600226,83.70166069099581,11
ari_ix_uav,0.028355662808117636,0.00566683778962338,1,2.8355662808117637,86.53722697180757,12
rdd_mk_uav,0.027007152248724062,0.005404455544001998,1,2.7007152248724062,89.23794219667997,13
pre_mm_uyr,0.02414336546995181,0.005098481665532754,1,2.414336546995181,91.65227874367515,14
urb_pc_use,0.023081914572665136,0.005039542513024021,1,2.3081914572665134,93.96047020094167,15
Q_p25,0.02005186354236173,0.004652817940531212,1,2.005186354236173,95.96565655517784,16
ORD_STRA,0.016008905719438506,0.003936699208234381,1,1.6008905719438506,97.5665471271217,17
crp_pc_use,0.01488327127727794,0.0033055561228259017,1,1.488327127727794,99.05487425484948,18
wet_pc_ug2,0.009451257451505162,0.0036591594303167717,1,0.9451257451505163,100,19
