Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
WT_p75,0.15217531508225668,0.02441783090277872,1,15.217531508225669,15.217531508225669,1
DO_P25,0.15147044265623383,0.019573725246875846,1,15.147044265623382,30.36457577384905,2
pre_mm_uyr,0.1336550521381925,0.021158520911120967,1,13.365505213819251,43.7300809876683,3
solar_p75,0.11766295132592294,0.019590058274215765,1,11.766295132592294,55.49637612026059,4
hdi_ix_cav,0.06802928101250236,0.015462457249048784,1,6.802928101250235,62.29930422151083,5
ele_mt_cav,0.05555604251771163,0.010731122327108425,1,5.555604251771163,67.854908473282,6
ppd_pk_uav,0.04793601082296286,0.008634758179303096,1,4.793601082296286,72.64850955557829,7
daylength_median,0.035233839637646334,0.008463658478341818,1,3.5233839637646334,76.17189351934292,8
slp_dg_uav,0.035045802321507946,0.007213370608939277,1,3.5045802321507944,79.6764737514937,9
Q_p25,0.03159229068455217,0.007496968033935643,1,3.159229068455217,82.83570281994892,10
tmp_dc_uyr,0.03061887321806446,0.005518532132500595,1,3.061887321806446,85.89759014175537,11
rdd_mk_uav,0.028266027886530355,0.00590326745408257,1,2.8266027886530356,88.7241929304084,12
ari_ix_uav,0.027141593596468123,0.008639052697079107,1,2.7141593596468123,91.43835229005522,13
UPLAND_SKM,0.024579916463242025,0.0037913766612963852,1,2.4579916463242024,93.89634393637942,14
crp_pc_use,0.021915345946035482,0.004997109064060743,1,2.191534594603548,96.08787853098296,15
for_pc_use,0.01977359958850211,0.004729405958337687,1,1.977359958850211,98.06523848983318,16
wet_pc_ug2,0.013332370293183318,0.003126377377265217,1,1.3332370293183318,99.39847551915152,17
ORD_STRA,0.0060152448084849,0.0018956195153811306,1,0.60152448084849,100,18
