Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.20729806378954693,0.024500678462434082,1,20.72980637895469,20.72980637895469,1
pre_mm_uyr,0.12049164473484135,0.018475444378218648,1,12.049164473484135,32.778970852438825,2
hdi_ix_cav,0.11472651937477138,0.01595822514543705,1,11.472651937477139,44.25162278991596,3
daylength_median,0.0932375455799222,0.014500542374272651,1,9.32375455799222,53.57537734790819,4
WT_p75,0.05738773408499815,0.009495340627770146,1,5.738773408499815,59.314150756408,5
slp_dg_uav,0.053976490024074515,0.008526894857830026,1,5.3976490024074515,64.71179975881546,6
UPLAND_SKM,0.053635406210682676,0.007789310181320439,1,5.3635406210682675,70.07534037988373,7
ele_mt_cav,0.05185734519682814,0.008019495408229311,1,5.185734519682814,75.26107489956654,8
tmp_dc_uyr,0.045284629771301765,0.0073851259898768265,1,4.528462977130177,79.78953787669671,9
for_pc_use,0.03526432863911997,0.006983945751636162,1,3.526432863911997,83.3159707406087,10
solar_p75,0.03368183813282996,0.007402893063615693,1,3.368183813282996,86.6841545538917,11
Q_p25,0.032034162887136335,0.006159606844055558,1,3.2034162887136333,89.88757084260534,12
ppd_pk_uav,0.029524077159428085,0.0049788068247105756,1,2.9524077159428086,92.83997855854814,13
ari_ix_uav,0.02232876970810534,0.0062077156156155186,1,2.232876970810534,95.07285552935868,14
crp_pc_use,0.02209168247378048,0.004053143724334162,1,2.2091682473780483,97.28202377673672,15
wet_pc_ug2,0.015807905079609122,0.003655568019709337,1,1.5807905079609121,98.86281428469763,16
ORD_STRA,0.01137185715302361,0.0030725443820563223,1,1.137185715302361,100,17
