gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
2423571,0.76606154,130,1,236,42,163,1438,107,0,34,2,548.508,7528,803,7.45,23.55,0.659814715,12.43888889,13.78638889,22.84
29033,2.606158553,494.8,3,76,58,73,1036,177,0,0,17,54.295,417,929,9.446844802,14.85,2.70443368,12.49361111,15.4825,15.08
29040,3,1939.2,4,7,32,89,732,118,0,2,53,51.148,446,918,9.219014904,14.15,7.02941072,11.23416667,14.52451389,12.9925
29041,1.884181431,1974.1,5,9,43,88,959,153,0,0,22,1041.222,3206,929,5.864488766,15.25,12.98152113,10.96333333,14.535833330000001,12.97
29043,2.331504024,8114.4,5,12,24,92,749,114,0,1,39,691.911,2378,895,7.627703233,15.85,33.0585146,11.21472222,14.87166667,13.48
29044,0.539180888,959.1,4,23,50,89,977,156,0,0,23,905.212,3150,890,5.189481114,15.55,6.654341936,11.63222222,15.19083333,14.135
3123499,0.324444444,20.7,1,149,8,131,1132,96,0,10,2,1899.968,8892,826,6.1,29.22708333,3.5e-10,12.74694444,13.5225,21.79
3219500,0.390910446,1662,3,278,4,98,922,89,0,1,76,44.359,575,925,6,22.7,2.152095199,13.39458333,14.57,22.66
3254520,1.115960239,9293.7,5,204,45,120,1149,99,0,61,39,23.726,323,814,7.4,23.45,26.36360693,12.10930556,13.98354167,20.85
3284533,0.7972512,52.1,2,296,13,126,1172,103,0,6,32,619.71,4054,814,5.6,22.675,7.36e-4,11.895,13.65222222,22.08
3287590,0.649548852,12.7,1,304,12,125,1164,103,0,0,37,475.305,1794,814,4.7,22,4.32e-7,12.10444444,13.735,21.82
3289193,0.5515625,27.2,2,281,12,126,1159,102,0,0,2,1471.101,7661,814,7.4,19.25,0.391319692,12.2475,13.99,20.97
3289200,0.309375,96.2,2,273,13,126,1152,101,0,5,26,934.619,5137,814,6.725,22.275,0.157233894,12.33972222,13.93555556,21.14
3290500,1.323958333,211.6,2,220,31,123,1158,99,0,75,28,11.463,346,814,7.6,24.2,69.37585068,11.36583333,13.59958333,19.2275
3292470,0.535827851,177.3,2,210,22,124,1160,100,0,17,33,85.347,879,820,7.625,22.4,0.196776036,11.83388889,13.72895833,20.095
3292474,0.454847828,18.2,1,206,10,127,1160,99,0,8,4,774.934,6838,814,7.4,20.275,0.060387151,12.05152778,13.85430556,20.6075
3292475,0.372596154,29.3,1,188,15,128,1152,98,0,20,3,729.251,7182,814,7.75,20.55,0.010850418,12.20597222,13.98333333,20.86
