file_name,latitude,longitude
2927,30.458399,116.300251
2870,30.128011,116.618304
2876,30.024119,116.34803
2946,29.992903,116.466746
3879,29.95998,116.156272
2949,29.905695,115.966227
2919,30.509513,117.000948
2935,30.62842,116.613475
2899,30.27099,116.669977
2868,31.016411,118.952277
2861,33.127823,117.879486
2258,32.9527884,117.2710932
2904,32.502665,116.521698
2930,33.316899,117.316955
2911,33.540418,115.637255
2865,33.262629,117.804218
2948,33.103036,116.867173
3872,33.9833958,115.8904
3873,32.786927,117.333539
2866,33.85356,117.280926
2909,33.637904,116.048247
2883,33.34421,116.426383
2867,33.138513,116.19039
2887,30.259622,117.064422
6387,30.7703,117.7527
2918,30.4956203,117.0053119
2889,31.714434,118.319357
6388,30.669,117.46
2871,30.42124,116.871085
6488,30.3812,117.033
2858,32.130695,116.383512
2856,30.20963,116.914531
2860,30.774607,117.684788
2183,31.861184,117.284922
2878,32.704886,119.026529
6223,32.7923,117.9642
2263,32.724409,119.0894
2255,33.1674762,118.1533047
6224,33.1689,118.1492
2901,30.593188,114.273591
6225,32.3088,118.4555
2910,32.288364,118.315567
2859,32.199777,118.417907
2925,31.785615,117.154467
6226,32.0978,118.2887
2937,32.658297,115.595644
2252,33.4957895,115.4699245
2260,32.4164278,115.6365441
6227,32.4286,115.6024
3878,33.0764559,115.2472543
2938,31.71867,118.521306
2939,32.912195,115.867791
2256,33.2640607,115.3390767
2177,33.352881,115.953353
2920,32.059642,116.807275
2149,31.50139,117.270311
3874,31.582279,117.834821
2854,32.943468,117.395278
2950,31.611101,117.806853
2254,31.6584795,117.4492571
2912,31.08593,119.031442
2947,31.657076,117.545139
2893,31.98873,117.087304
2863,31.262833,117.26247
2890,32.271894,116.220503
2942,32.717422,118.74337
2850,31.502262,117.258837
2869,31.410873,116.91384
6383,31.5392,117.3326
2851,30.758719,118.686325
2895,31.683019,117.471625
2259,33.814464,116.855937
6350,31.6554,117.2733
2885,33.840665,115.791037
2872,31.76996,118.355088
2852,31.577988,117.87603
2886,31.15702,117.439766
2864,30.584347,117.078305
2262,31.647649,117.811618
2897,31.769141,117.754946
2873,31.861184,117.284922
2253,33.8752478,116.5802321
6221,33.8744,116.5878
2896,30.771958,117.410646
2917,38.879326,116.001576
2862,32.605506,116.764262
2944,31.449897,116.423277
2257,32.6439828,116.9074973
2921,32.641579,116.915776
2891,32.775789,117.103527
2913,32.570486,116.5909
2877,32.373979,116.498832
2916,32.407674,116.887689
2933,33.219622,116.067254
6386,30.3723,118.0149
2932,32.045256,116.621515
2898,29.717799,118.297603
2908,30.459931,118.245551
2915,29.699942,118.293416
2924,29.763863,118.366667
2894,29.961077,118.504612
2905,31.18298,118.794129
2941,31.539384,116.332494
2884,32.350232,116.273076
2857,32.388833,116.429457
2892,29.862438,118.618899
2875,31.095417,116.90207
2874,31.572105,116.065087
2848,31.48546,115.620216
2936,31.630932,118.517796
2880,31.549437,118.479184
2888,31.484455,118.492964
2849,31.969757,117.417593
2855,33.51521,116.943445
2879,31.861184,117.284922
2251,34.0179266,117.213674
2922,33.753156,116.979217
2926,33.483853,117.215577
2882,33.4530255,117.8850083
2853,31.95972,117.499594
2929,30.832508,117.091176
2943,30.934479,117.926587
2119,30.700479,117.229669
2940,31.589232,117.271944
2150,31.6083986,117.8003691
2931,31.43253,118.311762
2928,31.130526,118.012738
2881,30.692212,118.387766
2945,30.926719,118.321239
6384,31.2695,118.3338
3871,31.495596,118.368319
2900,31.618256,117.2443
6389,31.1034,118.9031
2934,31.229151,118.288408
2907,29.690279,118.312937
2923,31.157496,118.743402
2902,31.332876,117.096014
2906,30.991272,119.936981
2903,30.691628,118.98031
2261,31.282899,118.720525
2914,31.645018,117.858773
2691,39.7572,116.03895
2690,39.907408,116.618333
2699,39.956847,116.39537
2694,40.412399,116.305631
3823,39.659091,115.499761
2231,39.93045,115.520692
2685,39.834406,116.425261
2692,40.026901,116.349049
2696,39.977668,116.365688
2693,39.941767,116.32528
2689,40.309662,116.592811
3824,40.0709784,115.7227302
2684,40.563889,116.803076
3822,40.6900516,117.1595757
2698,40.094418,116.298616
2686,40.517502,116.913914
2681,39.673915,116.526519
2682,39.890237,116.187123
2695,39.654948,116.574886
2687,39.735711,116.903395
2688,39.899404,116.44061
2683,40.319538,116.633775
2697,40.430962,115.959848
2542,26.205703,119.555245
4088,25.940286,119.241465
3614,25.882692,118.933046
3617,25.9737169,119.459778
3620,26.137615,119.56057
2544,25.085454,118.534895
3623,26.146209,119.107921
3624,26.326652,118.755979
3625,25.24576,117.150525
3590,25.029821,116.447085
6392,25.4639,116.2935
3621,25.490233,116.324225
3605,27.2072,118.2109
3609,27.4979,118.0807
2539,26.7954,117.9049
2543,27.2974,117.5617
3602,26.100779,119.295144
2535,24.888209,118.607392
3606,27.563409,118.409036
3610,26.548915,117.996231
2538,27.336408,118.713059
3608,27.647798,118.688747
3618,27.378477,120.103534
3592,26.810521,119.569207
3616,27.12725,119.647502
2541,26.96766,119.679468
2536,26.433311,118.623307
2540,26.986877,119.624264
4086,26.178062,117.372355
4087,25.963816,119.239609
3594,25.033597,118.478314
2537,24.8213,118.58747
6391,25.1817,118.4147
3613,25.284037,118.383698
3600,25.050703,118.266127
3595,24.951791,118.44607
3601,26.671964,117.19124
3599,26.175309,116.759826
3611,26.088396,117.10368
3612,26.086997,117.444817
3607,26.314279,117.682267
3604,26.82863,116.948359
3598,25.82232,117.97768
3603,25.92585,118.393076
4089,24.981593,116.978429
3619,26.100779,119.295144
3596,24.46201,117.405013
3593,25.107288,117.555005
3615,26.057304,119.209604
3622,26.100779,119.295144
2165,24.360423,117.93156
3597,24.567778,117.518239
3589,25.346121,117.555685
3591,23.94656,117.3503
4084,34.3722143,106.7067619
3586,36.067756,103.825814
3585,36.059421,103.826308
3566,37.16923,104.29416
3576,35.581194,103.787401
3572,34.144303,104.847086
3578,33.998387,102.072639
3577,36.337031,103.944896
3570,38.279316,100.841336
3583,38.370496,102.0513
3582,39.930227,98.855668
3573,33.327425,105.606528
2533,36.1708623,103.4709425
3567,36.150864,103.993225
6348,36.1678,103.483
2174,40.310107,97.737083
3574,35.618085,103.237716
3571,33.327076,105.082771
3565,33.433584,104.787727
3584,35.33874,107.744589
3575,35.381435,103.426929
2534,34.532635,106.250042
3568,36.801105,102.734399
3580,38.399594,102.888018
3588,37.560335,102.738688
3579,37.912691,101.844367
3587,35.382401,103.855148
3569,37.858419,102.705305
3581,38.810096,100.160119
3913,23.037516,113.4043459
3049,23.816207,116.541195
2303,23.665131,117.003995
3032,22.761322,114.127158
6430,23.0588,113.7525
3035,22.9081,113.604057
3044,21.222112,110.48836
3031,22.926477,114.078428
2318,23.028025,113.199715
2299,22.888331,113.267097
3020,22.528784,113.3708
2326,22.693113,113.502012
2330,22.992944,112.290777
2332,22.800704,113.527502
2327,23.51581,113.556941
2315,22.891775,113.47333
2314,23.023376,113.333231
2300,24.063586,115.257782
6253,23.1376,113.7508
