file_name,total_hours,hypoxia_hours,hypoxia_fraction,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
13213000,56664,0,0,43.78166667,-116.9727778,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1342732,17976,0,0,43.01975,-75.0284722,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1354330,43512,0,0,42.8281583,-73.9903722,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1355475,46104,0,0,42.8511111,-73.88725,3,Urban,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
135980207,41232,0,0,42.4996111,-73.7768056,5,Other,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
1376307,24648,0,0,40.93625,-73.9043056,3,Urban,3,Urban,0.5,0,0.5,0,0,0.5,TRUE,Urban-dominated
1376515,30648,0,0,40.76463889,-74.0031944,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
1376520,23832,0,0,40.72152778,-74.0156111,5,Other,3,Urban,0.5,0,0.5,0,0,0.5,TRUE,Urban-dominated
1388000,39000,0,0,40.99194444,-74.28,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1400500,132312,0,0,40.55555556,-74.58277778,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
14149011,10560,0,0,43.91378056,-122.7556472,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14150000,1992,0,0,43.9456815,-122.8372967,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14152000,21648,0,0,43.99818166,-122.9059126,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14158100,85848,0,0,44.09166667,-123.116111,3,Urban,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
14158850,32544,0,0,44.2679001,-122.0497826,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14159500,46824,0,0,44.13595817,-122.248391,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
14162200,46104,0,0,44.16234819,-122.3331192,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
