site_id,total_days,hypoxia_day_count,lat_wgs84,lon_wgs84,percent,Class
230205,401,0,-37.6314,144.801,0,0
225209,488,2,-37.6296,146.623,0.409836066,0
238202,401,1,-37.619,141.429,0.249376559,0
221212,394,0,-37.6071,148.902,0,0
223204,388,0,-37.5929,147.697,0,0
NZL00015,275,0,-37.54662567,175.7067882,0,0
236215,386,10,-37.526,143.674,2.590673575,0
405264,395,0,-37.5194,146.076,0,0
222202,394,0,-37.5115,148.547,0,0
231213,487,39,-37.4963,144.361,8.008213552,1
238223,402,1,-37.496,141.426,0.248756219,0
224213,400,0,-37.4951,147.269,0,0
221207,457,1,-37.447,148.915,0.218818381,0
NZL00014,275,0,-37.43209689,175.131536,0,0
NZL00016,275,0,-37.41479358,175.7153067,0,0
405205,401,0,-37.4137,145.564,0,0
230209,379,2,-37.4105,144.626,0.527704485,0
222217,377,0,-37.4102,148.36,0,0
224206,396,0,-37.4075,147.089,0,0
238208,389,0,-37.3744,142.507,0,0
405231,354,0,-37.3471,145.288,0,0
405219,394,0,-37.3309,146.131,0,0
405209,403,0,-37.3177,145.713,0,0
238231,391,1,-37.314,142.365,0.255754476,0
NZL00002,179,0,-37.28333333,175.05,0,0
223202,404,0,-37.2688,147.729,0,0
405203,404,1,-37.2468,145.889,0.247524752,0
407221,341,4,-37.2064,144.1,1.173020528,0
415207,397,12,-37.185,143.185,3.022670025,0
405214,406,0,-37.1583,146.113,0,0
407215,371,10,-37.109,144.058,2.69541779,0
405212,386,23,-37.099,145.056,5.958549223,1
401226,402,0,-37.088,147.458,0,0
405240,334,15,-37.0596,145.055,4.491017964,0
406213,391,1,-37.0151,144.54,0.255754476,0
405251,341,0,-36.9688,145.785,0,0
223214,400,2,-36.9547,147.928,0.5,0
406235,340,1,-36.9472,144.665,0.294117647,0
401203,401,0,-36.946,147.606,0,0
401216,401,0,-36.9327,147.472,0,0
415201,469,29,-36.9095,142.644,6.18336887,1
405234,365,0,-36.887,145.683,0,0
403244,408,0,-36.8764,147.064,0,0
406207,399,1,-36.8433,144.53,0.250626566,0
407203,400,2,-36.8312,143.892,0.5,0
402223,340,0,-36.7913,147.16,0,0
406214,362,43,-36.7735,144.428,11.87845304,1
NZL00010,279,3,-36.74427866,174.6179149,1.075268817,0
415200,401,9,-36.7399,142.147,2.244389027,0
405237,309,14,-36.7295,145.567,4.530744337,0
403205,402,0,-36.7256,146.953,0,0
407255,378,4,-36.6331,144.365,1.058201058,0
403213,333,4,-36.6195,146.244,1.201201201,0
405200,407,0,-36.617,145.22,0,0
404207,389,4,-36.6112,146.059,1.028277635,0
402203,353,0,-36.5954,147.1,0,0
403210,401,0,-36.5712,146.718,0,0
403230,401,0,-36.5335,146.668,0,0
403223,388,0,-36.5163,146.389,0,0
404216,397,2,-36.4735,145.942,0.503778338,0
401212,389,0,-36.445,147.829,0,0
408200,395,33,-36.4381,143.298,8.35443038,1
404224,359,0,-36.4337,145.669,0,0
407229,385,2,-36.4281,143.949,0.519480519,0
NZL00009,277,0,-36.38527369,174.5169717,0,0
402204,354,0,-36.3046,146.907,0,0
402222,531,0,-36.2535,147.02,0,0
404214,378,28,-36.0985,145.685,7.407407407,1
409025,665,65,-36.011389,145.994167,9.77443609,1
NZL00007,276,0,-35.73233182,174.0527027,0,0
NZL00008,275,0,-35.65192384,174.1507806,0,0
409005,4089,69,-35.629722,144.124444,1.687454145,0
409003,4236,89,-35.530145,144.96628,2.101038716,0
NZL00006,276,0,-35.27634202,174.0475414,0,0
NZL00005,276,0,-35.27339106,173.6881075,0,0
409014,4228,151,-35.090151,144.031288,3.571428571,0
409013,4222,232,-35.0376,143.5702,5.495026054,1
URY00001,34,1,-34.51666667,-56.4,2.941176471,0
203009,34,1,-34.51459204,-56.40207462,2.941176471,0
410040,2812,35,-34.477623,144.301,1.244665718,0
URY00005,31,0,-34.46666667,-57.85,0,0
